Timestamp,Steps,PAM Score
1970-02-01 13:11:00,3,0.4375
1970-02-01 13:12:00,0,0.75
1970-02-01 13:13:00,0,0.8125
1970-02-01 13:14:00,0,0.0625
1970-02-01 13:15:00,3,0.3125
1970-02-01 13:16:00,5,1.1875
1970-02-01 13:17:00,8,1.125
1970-02-01 13:18:00,6,0.9375
1970-02-01 13:19:00,8,1.0
1970-02-01 13:20:00,0,0.0625
1970-02-01 13:21:00,0,0.0625
1970-02-01 13:22:00,0,0.0
1970-02-01 13:23:00,2,0.1875
1970-02-01 13:24:00,0,0.0625
1970-02-01 13:25:00,6,0.9375
1970-02-01 13:26:00,7,1.9375
1970-02-01 13:27:00,0,0.125
1970-02-01 13:28:00,4,0.4375
1970-02-01 13:29:00,1,0.6875
1970-02-01 13:30:00,5,0.8125
1970-02-01 13:31:00,0,0.0
1970-02-01 13:32:00,0,0.0
1970-02-01 13:33:00,0,0.0
1970-02-01 13:34:00,1,0.125
1970-02-01 13:35:00,1,0.4375
1970-02-01 13:36:00,0,0.0
1970-02-01 13:37:00,0,0.125
1970-02-01 13:38:00,4,0.75
1970-02-01 13:39:00,6,1.0625
1970-02-01 13:40:00,2,0.3125
