Timestamp,Steps,PAM Score
2025-05-01 12:00:00,4,0.31
2025-05-01 12:01:00,1,0.35
2025-05-01 12:02:00,3,0.27
2025-05-01 12:03:00,2,0.25
2025-05-01 12:04:00,1,0.25
2025-05-01 12:05:00,2,0.23
2025-05-01 12:06:00,2,0.24
2025-05-01 12:07:00,0,0.32
2025-05-01 12:08:00,4,0.27
2025-05-01 12:09:00,0,0.39
2025-05-01 12:10:00,20,0.48
2025-05-01 12:11:00,22,0.54
2025-05-01 12:12:00,20,0.52
2025-05-01 12:13:00,28,0.59
2025-05-01 12:14:00,15,0.4
2025-05-01 12:15:00,17,0.34
2025-05-01 12:16:00,18,0.39
2025-05-01 12:17:00,24,0.51
2025-05-01 12:18:00,15,0.56
2025-05-01 12:19:00,23,0.59
2025-05-01 12:20:00,12,0.35
2025-05-01 12:21:00,11,0.61
2025-05-01 12:22:00,18,0.58
2025-05-01 12:23:00,20,0.53
2025-05-01 12:24:00,23,0.65
2025-05-01 12:25:00,20,0.53
2025-05-01 12:26:00,19,0.36
2025-05-01 12:27:00,20,0.6
2025-05-01 12:28:00,16,0.42
2025-05-01 12:29:00,12,0.57
2025-05-01 12:30:00,68,0.83
2025-05-01 12:31:00,61,0.83
2025-05-01 12:32:00,71,0.77
2025-05-01 12:33:00,58,0.76
2025-05-01 12:34:00,70,0.53
2025-05-01 12:35:00,53,0.83
2025-05-01 12:36:00,56,0.82
2025-05-01 12:37:00,65,0.6
2025-05-01 12:38:00,54,0.69
2025-05-01 12:39:00,60,0.7
2025-05-01 12:40:00,55,0.74
2025-05-01 12:41:00,54,0.76
2025-05-01 12:42:00,66,0.72
2025-05-01 12:43:00,63,0.94
2025-05-01 12:44:00,61,0.75
2025-05-01 12:45:00,18,0.68
2025-05-01 12:46:00,20,0.29
2025-05-01 12:47:00,3,0.59
2025-05-01 12:48:00,0,0.66
2025-05-01 12:49:00,32,0.25
2025-05-01 12:50:00,22,0.76
2025-05-01 12:51:00,6,0.33
2025-05-01 12:52:00,22,0.53
2025-05-01 12:53:00,15,0.26
2025-05-01 12:54:00,18,0.69
2025-05-01 12:55:00,2,0.58
2025-05-01 12:56:00,17,0.48
2025-05-01 12:57:00,27,0.57
2025-05-01 12:58:00,3,0.31
2025-05-01 12:59:00,1,0.7
