Timestamp,Steps,PAM Score
1970-02-01 18:06:00+00:00,0,0.0
1970-02-01 19:46:00+00:00,0,0.0
1970-02-02 00:02:00+00:00,5,0.44
1970-02-02 04:18:00+00:00,17,1.56
1970-02-02 08:34:00+00:00,2,0.19
1970-02-01 02:43:00+00:00,0,0.0
1970-02-01 06:59:00+00:00,14,0.75
1970-02-01 11:15:00+00:00,8,1.44
1970-02-01 15:31:00+00:00,6,2.06
1970-02-01 19:47:00+00:00,7,2.12
1970-02-02 00:03:00+00:00,4,1.94
1970-02-02 04:19:00+00:00,0,0.88
1970-02-02 08:35:00+00:00,0,0.12
1970-02-01 02:44:00+00:00,0,0.0
1970-02-01 07:00:00+00:00,1,0.06
1970-02-01 11:16:00+00:00,5,0.62
1970-02-01 15:32:00+00:00,0,0.0
1970-02-01 19:48:00+00:00,0,0.06
1970-02-02 00:04:00+00:00,0,0.12
1970-02-02 04:20:00+00:00,0,0.56
1970-02-02 08:36:00+00:00,0,0.06
1970-02-01 02:45:00+00:00,0,0.12
1970-02-01 07:01:00+00:00,0,0.06
1970-02-01 11:17:00+00:00,0,0.06
1970-02-01 15:33:00+00:00,0,0.38
1970-02-01 19:49:00+00:00,0,0.19
1970-02-02 00:05:00+00:00,0,0.12
1970-02-02 04:21:00+00:00,0,0.06
1970-02-02 08:37:00+00:00,0,0.19
1970-02-01 02:46:00+00:00,0,0.31
1970-02-01 07:02:00+00:00,0,0.19
1970-02-01 11:18:00+00:00,0,0.44
1970-02-01 15:34:00+00:00,0,0.62
1970-02-01 19:50:00+00:00,0,0.5
1970-02-02 00:06:00+00:00,0,0.06
1970-02-02 04:22:00+00:00,0,0.38
1970-02-02 08:38:00+00:00,0,0.44
1970-02-01 02:47:00+00:00,0,0.38
1970-02-01 07:03:00+00:00,0,0.25
1970-02-01 11:19:00+00:00,0,0.38
1970-02-01 15:35:00+00:00,0,0.19
1970-02-01 19:51:00+00:00,3,0.5
1970-02-02 00:07:00+00:00,13,1.69
1970-02-02 04:23:00+00:00,6,2.38
1970-02-02 08:39:00+00:00,17,2.69
1970-02-01 02:48:00+00:00,3,1.94
1970-02-01 07:04:00+00:00,0,0.12
1970-02-01 11:20:00+00:00,0,1.0
1970-02-01 15:36:00+00:00,0,0.25
1970-02-01 19:52:00+00:00,0,0.0
1970-02-02 00:08:00+00:00,0,0.25
1970-02-02 04:24:00+00:00,0,0.12
1970-02-02 08:40:00+00:00,0,0.06
1970-02-01 02:49:00+00:00,0,0.06
1970-02-01 07:05:00+00:00,0,0.0
1970-02-01 11:21:00+00:00,0,0.12
1970-02-01 15:37:00+00:00,1,0.25
1970-02-01 19:53:00+00:00,0,0.06
1970-02-02 00:09:00+00:00,0,0.19
1970-02-02 04:25:00+00:00,0,0.75
1970-02-02 08:41:00+00:00,3,1.56
1970-02-01 02:50:00+00:00,4,1.31
1970-02-01 07:06:00+00:00,27,2.75
1970-02-01 11:22:00+00:00,43,3.12
1970-02-01 15:38:00+00:00,5,2.0
1970-02-01 19:54:00+00:00,0,1.0
1970-02-02 00:10:00+00:00,13,0.88
1970-02-02 04:26:00+00:00,0,0.0
1970-02-02 08:42:00+00:00,0,0.12
1970-02-01 02:51:00+00:00,1,0.12
1970-02-01 07:07:00+00:00,0,0.0
1970-02-01 11:23:00+00:00,0,0.0
1970-02-01 15:39:00+00:00,0,0.0
1970-02-01 19:55:00+00:00,0,0.0
1970-02-02 00:11:00+00:00,0,0.0
1970-02-02 04:27:00+00:00,0,0.0
1970-02-02 08:43:00+00:00,0,0.0
1970-02-01 02:52:00+00:00,0,0.0
1970-02-01 07:08:00+00:00,0,0.0
1970-02-01 11:24:00+00:00,0,0.06
1970-02-01 15:40:00+00:00,0,0.0
1970-02-01 19:56:00+00:00,0,0.0
1970-02-02 00:12:00+00:00,0,0.0
1970-02-02 04:28:00+00:00,0,0.0
1970-02-02 08:44:00+00:00,0,0.0
1970-02-01 02:53:00+00:00,0,0.0
1970-02-01 07:09:00+00:00,0,0.0
1970-02-01 11:25:00+00:00,0,0.0
1970-02-01 15:41:00+00:00,2,0.19
1970-02-01 19:57:00+00:00,0,0.12
1970-02-02 00:13:00+00:00,8,0.56
1970-02-02 04:29:00+00:00,7,2.0
1970-02-02 08:45:00+00:00,4,0.38
1970-02-01 02:54:00+00:00,0,0.19
1970-02-01 07:10:00+00:00,0,0.0
1970-02-01 11:26:00+00:00,0,0.0
1970-02-01 15:42:00+00:00,0,0.0
1970-02-02 00:14:00+00:00,0,0.0
1970-02-02 04:30:00+00:00,2,0.19
1970-02-02 08:46:00+00:00,7,1.62
