Timestamp,Steps,PAM Score
2025-05-21 12:02:00,11,1.625
2025-05-21 12:03:00,10,1.1875
2025-05-21 12:04:00,20,0.9375
2025-05-21 12:05:00,49,2.375
2025-05-21 12:06:00,89,6.6875
2025-05-21 12:07:00,94,7.625
2025-05-21 12:08:00,114,8.3125
2025-05-21 12:09:00,74,5.1875
2025-05-21 12:10:00,116,7.9375
2025-05-21 12:11:00,25,2.0625
2025-05-21 12:12:00,61,2.8125
2025-05-21 12:13:00,44,2.125
2025-05-21 12:14:00,85,4.0
2025-05-21 12:15:00,104,4.9375
2025-05-21 12:16:00,98,4.5625
2025-05-21 12:17:00,104,4.8125
2025-05-21 12:18:00,104,4.75
2025-05-21 12:19:00,86,4.1875
2025-05-21 12:20:00,38,2.0625
2025-05-21 12:21:00,8,1.0625
2025-05-21 12:22:00,1,0.0625
2025-05-21 12:23:00,0,0.0

