Timestamp,Steps,PAM Score
2025-05-21 12:02:00,11,1.4375
2025-05-21 12:03:00,9,1.4375
2025-05-21 12:04:00,19,0.875
2025-05-21 12:05:00,40,1.8125
2025-05-21 12:06:00,96,6.5625
2025-05-21 12:07:00,99,8.9375
2025-05-21 12:08:00,103,7.5625
2025-05-21 12:09:00,71,5.4375
2025-05-21 12:10:00,110,7.6875
2025-05-21 12:11:00,37,2.5
2025-05-21 12:12:00,55,2.6875
2025-05-21 12:13:00,38,2.0
2025-05-21 12:14:00,78,3.5625
2025-05-21 12:15:00,97,4.6875
2025-05-21 12:16:00,101,4.5
2025-05-21 12:17:00,104,4.5625
2025-05-21 12:18:00,105,4.6875
2025-05-21 12:19:00,82,4.0625
2025-05-21 12:20:00,33,2.625
2025-05-21 12:21:00,14,1.1875
2025-05-21 12:22:00,1,0.0625
2025-05-21 12:23:00,0,0.0
