Timestamp,Steps,PAM Score
2025-05-29 11:21:00,4,1.0625
2025-05-29 11:22:00,11,1.1875
2025-05-29 11:23:00,2,0.4375
2025-05-29 11:24:00,8,0.3125
2025-05-29 11:28:00,12,1.0625
2025-05-29 11:29:00,3,0.8125
2025-05-29 11:30:00,50,4.1875
2025-05-29 11:31:00,58,4.375
2025-05-29 11:32:00,60,4.4375
2025-05-29 11:33:00,62,4.5625
2025-05-29 11:34:00,58,4.4375
2025-05-29 11:35:00,56,4.4375
2025-05-29 11:36:00,55,4.4375
2025-05-29 11:37:00,52,4.5
2025-05-29 11:38:00,59,4.625
2025-05-29 11:39:00,54,4.5625
2025-05-29 11:40:00,9,1.3125
2025-05-29 11:41:00,0,0.0625
2025-05-29 11:42:00,0,0.0625
2025-05-29 11:43:00,0,0.0625
2025-05-29 11:44:00,0,0.0
2025-05-29 11:45:00,0,0.0625
2025-05-29 11:46:00,13,1.8125
2025-05-29 11:47:00,6,0.625
2025-05-29 11:48:00,0,0.0
2025-05-29 11:49:00,0,0.0
2025-05-29 11:50:00,0,0.0
2025-05-29 11:51:00,0,0.0
2025-05-29 12:55:00,0,0.0
2025-05-29 12:56:00,1,0.125
2025-05-29 12:57:00,17,2.0
2025-05-29 12:58:00,2,1.0
2025-05-29 12:59:00,5,0.8125
2025-05-29 13:00:00,40,4.125
2025-05-29 13:01:00,43,4.125
2025-05-29 13:02:00,45,4.5625
2025-05-29 13:03:00,42,4.3125
2025-05-29 13:04:00,44,4.25
2025-05-29 13:05:00,44,4.125
2025-05-29 13:06:00,47,4.3125
2025-05-29 13:07:00,53,4.625
2025-05-29 13:08:00,48,4.1875
2025-05-29 13:09:00,49,4.25
2025-05-29 13:10:00,43,4.3125
2025-05-29 13:11:00,43,4.25
2025-05-29 13:12:00,48,4.5
2025-05-29 13:13:00,48,4.3125
2025-05-29 13:14:00,41,4.25
2025-05-29 13:15:00,47,4.3125
2025-05-29 13:16:00,48,4.3125
2025-05-29 13:17:00,46,4.25
2025-05-29 13:18:00,50,4.5
2025-05-29 13:19:00,47,4.25
2025-05-29 13:20:00,45,4.3125
2025-05-29 13:21:00,45,4.25
2025-05-29 13:22:00,49,4.3125
2025-05-29 13:23:00,42,4.4375
2025-05-29 13:24:00,44,4.3125
2025-05-29 13:25:00,47,4.25
2025-05-29 13:26:00,48,4.3125
2025-05-29 13:27:00,42,4.3125
2025-05-29 13:28:00,44,4.4375
2025-05-29 13:29:00,41,4.25
2025-05-29 13:30:00,46,4.3125
2025-05-29 13:31:00,38,4.25
2025-05-29 13:32:00,39,4.25
2025-05-29 13:33:00,46,4.4375
2025-05-29 13:34:00,42,4.25
2025-05-29 13:35:00,44,4.3125
2025-05-29 13:36:00,40,4.1875
2025-05-29 13:37:00,41,4.25
2025-05-29 13:38:00,45,4.5625
2025-05-29 13:39:00,40,4.125
2025-05-29 13:40:00,40,4.25
2025-05-29 13:41:00,41,4.3125
2025-05-29 13:42:00,42,4.25
2025-05-29 13:43:00,41,4.25
2025-05-29 13:44:00,41,4.4375
2025-05-29 13:45:00,37,4.25
2025-05-29 13:46:00,36,4.25
2025-05-29 13:47:00,35,4.1875
2025-05-29 13:48:00,43,4.25
2025-05-29 13:49:00,45,4.4375
2025-05-29 13:50:00,41,4.25
2025-05-29 13:51:00,39,4.3125
2025-05-29 13:52:00,40,4.25
2025-05-29 13:53:00,41,4.3125
2025-05-29 13:54:00,41,4.4375
2025-05-29 13:55:00,37,4.25
2025-05-29 13:56:00,39,4.25
2025-05-29 13:57:00,36,4.25
2025-05-29 13:58:00,41,4.25
2025-05-29 13:59:00,38,4.375
2025-05-29 14:00:00,41,4.25
2025-05-29 14:01:00,44,4.25
2025-05-29 14:02:00,40,4.25
2025-05-29 14:03:00,35,4.25
2025-05-29 14:04:00,44,4.4375
2025-05-29 14:05:00,37,4.25
2025-05-29 14:06:00,42,4.1875
2025-05-29 14:07:00,37,4.125
2025-05-29 14:08:00,44,4.3125
2025-05-29 14:09:00,40,4.25
2025-05-29 14:10:00,43,4.375
2025-05-29 14:11:00,45,4.3125
2025-05-29 14:12:00,37,4.25
2025-05-29 14:13:00,39,4.25
2025-05-29 14:14:00,42,4.25
2025-05-29 14:15:00,34,4.4375
2025-05-29 14:16:00,37,4.1875
2025-05-29 14:17:00,43,4.3125
2025-05-29 14:18:00,42,4.25
2025-05-29 14:19:00,40,4.25
2025-05-29 14:20:00,45,4.375
2025-05-29 14:21:00,45,4.3125
2025-05-29 14:22:00,41,4.25
2025-05-29 14:23:00,40,4.25
2025-05-29 14:24:00,39,4.25
2025-05-29 14:25:00,38,4.375
2025-05-29 14:26:00,39,4.3125
2025-05-29 14:27:00,43,4.1875
2025-05-29 14:28:00,36,4.25
2025-05-29 14:29:00,42,4.1875
2025-05-29 14:30:00,40,4.375
2025-05-29 14:31:00,41,4.25
2025-05-29 14:32:00,43,4.25
2025-05-29 14:33:00,39,4.3125
2025-05-29 14:34:00,34,4.25
2025-05-29 14:35:00,39,4.0625
2025-05-29 14:36:00,40,4.5625
2025-05-29 14:37:00,39,4.25
2025-05-29 14:38:00,38,4.125
2025-05-29 14:39:00,43,4.1875
2025-05-29 14:40:00,45,4.25
2025-05-29 14:41:00,47,4.375
2025-05-29 14:42:00,43,4.1875
2025-05-29 14:43:00,41,4.25
2025-05-29 14:44:00,43,4.1875
2025-05-29 14:45:00,43,4.25
2025-05-29 14:46:00,38,4.3125
2025-05-29 14:47:00,31,4.1875
2025-05-29 14:48:00,38,4.25
2025-05-29 14:49:00,33,4.1875
2025-05-29 14:50:00,35,4.25
2025-05-29 14:51:00,46,4.375
2025-05-29 14:52:00,41,4.25
2025-05-29 14:53:00,42,4.1875
2025-05-29 14:54:00,50,4.3125
2025-05-29 14:55:00,35,4.25
2025-05-29 14:56:00,39,4.375
2025-05-29 14:57:00,38,4.25
2025-05-29 14:58:00,40,4.1875
2025-05-29 14:59:00,44,4.25
2025-05-29 15:00:00,36,4.25
2025-05-29 15:01:00,29,4.1875
2025-05-29 15:02:00,42,4.375
2025-05-29 15:03:00,42,4.25
2025-05-29 15:04:00,38,4.25
2025-05-29 15:05:00,40,4.1875
2025-05-29 15:06:00,41,4.125
2025-05-29 15:07:00,46,4.5625
2025-05-29 15:08:00,36,4.1875
2025-05-29 15:09:00,39,4.125
2025-05-29 15:10:00,41,4.1875
2025-05-29 15:11:00,41,4.25
2025-05-29 15:12:00,37,4.375
2025-05-29 15:13:00,43,4.25
2025-05-29 15:14:00,33,4.1875
2025-05-29 15:15:00,37,4.25
2025-05-29 15:16:00,33,4.25
2025-05-29 15:17:00,39,4.3125
2025-05-29 15:18:00,32,4.25
2025-05-29 15:19:00,38,4.25
2025-05-29 15:20:00,37,4.1875
2025-05-29 15:21:00,34,4.25
2025-05-29 15:22:00,51,4.375
2025-05-29 15:23:00,37,4.25
2025-05-29 15:24:00,31,4.25
2025-05-29 15:25:00,37,4.1875
2025-05-29 15:26:00,38,4.25
2025-05-29 15:27:00,34,4.375
2025-05-29 15:28:00,35,4.1875
2025-05-29 15:29:00,33,4.3125
2025-05-29 15:30:00,40,4.3125
2025-05-29 15:31:00,43,4.25
