Timestamp,Steps,PAM Score
2025-05-29 11:24:00,3,0.5625
2025-05-29 11:25:00,2,0.1875
2025-05-29 11:26:00,16,1.125
2025-05-29 11:27:00,3,0.75
2025-05-29 11:28:00,13,1.625
2025-05-29 11:29:00,2,0.8125
2025-05-29 11:30:00,53,4.0625
2025-05-29 11:31:00,60,4.4375
2025-05-29 11:32:00,50,4.375
2025-05-29 11:33:00,55,4.375
2025-05-29 11:34:00,54,4.3125
2025-05-29 11:35:00,49,4.1875
2025-05-29 11:36:00,55,4.3125
2025-05-29 11:37:00,58,4.5
2025-05-29 11:38:00,59,4.4375
2025-05-29 11:39:00,49,4.375
2025-05-29 11:40:00,10,1.3125
2025-05-29 11:41:00,0,0.0
2025-05-29 11:42:00,0,0.0
2025-05-29 11:43:00,0,0.0
2025-05-29 11:44:00,0,0.0
2025-05-29 11:45:00,0,0.0625
2025-05-29 11:46:00,8,1.5
2025-05-29 11:47:00,4,0.625
2025-05-29 11:48:00,0,0.0
2025-05-29 11:49:00,0,0.0
2025-05-29 11:50:00,0,0.0
2025-05-29 11:51:00,0,0.0
2025-05-29 12:55:00,0,0.0
2025-05-29 12:56:00,1,0.0625
2025-05-29 12:57:00,15,1.5
2025-05-29 12:58:00,2,1.0
2025-05-29 12:59:00,4,0.6875
2025-05-29 13:00:00,44,4.125
2025-05-29 13:01:00,45,4.3125
2025-05-29 13:02:00,42,4.125
2025-05-29 13:03:00,43,4.4375
2025-05-29 13:04:00,48,4.3125
2025-05-29 13:05:00,50,4.375
2025-05-29 13:06:00,49,4.3125
2025-05-29 13:07:00,41,4.25
2025-05-29 13:08:00,45,4.375
2025-05-29 13:09:00,56,4.1875
2025-05-29 13:10:00,52,4.25
2025-05-29 13:11:00,43,4.1875
2025-05-29 13:12:00,43,4.375
2025-05-29 13:13:00,55,4.4375
2025-05-29 13:14:00,44,4.25
2025-05-29 13:15:00,56,4.25
2025-05-29 13:16:00,48,4.3125
2025-05-29 13:17:00,35,4.25
2025-05-29 13:18:00,41,4.5
2025-05-29 13:19:00,42,4.0625
2025-05-29 13:20:00,55,4.25
2025-05-29 13:21:00,42,4.25
2025-05-29 13:22:00,43,4.375
2025-05-29 13:23:00,40,4.25
2025-05-29 13:24:00,48,4.3125
2025-05-29 13:25:00,54,4.3125
2025-05-29 13:26:00,42,4.3125
2025-05-29 13:27:00,38,4.0625
