Timestamp,Steps,PAM Score
1970-01-31 03:44:00,0,0.0
1970-01-31 08:00:00,0,0.0
1970-01-31 12:16:00,0,0.0
1970-01-31 16:32:00,0,0.0
1970-01-31 20:48:00,0,0.0
1970-02-01 01:04:00,0,0.0
1970-02-01 10:30:00,0,0.0
1970-02-01 14:46:00,0,0.0
1970-02-01 19:02:00,0,0.0
1970-02-01 23:18:00,0,0.0
1970-02-02 03:34:00,0,0.0
1970-02-02 07:50:00,0,0.0
1970-02-01 23:51:00,0,0.0
1970-02-02 04:07:00,3,0.44
1970-02-02 08:23:00,6,0.44
1970-02-01 02:32:00,0,0.0
1970-02-01 06:48:00,0,0.0
1970-02-01 11:04:00,0,0.0
1970-02-01 15:20:00,0,0.0
1970-02-01 11:11:00,0,0.0
1970-02-01 15:27:00,9,1.38
1970-02-01 19:43:00,0,1.38
1970-02-01 23:59:00,0,1.44
1970-02-02 04:15:00,0,1.44
1970-02-02 08:31:00,0,1.44
1970-02-01 06:56:00,0,1.19
1970-02-01 11:12:00,2,0.06
1970-02-01 15:28:00,4,0.88
1970-02-01 19:44:00,0,0.0
1970-02-02 00:00:00,0,0.0
1970-02-02 04:16:00,0,0.0
1970-02-02 08:32:00,0,0.0
1970-02-01 02:44:00,0,0.06
1970-02-01 07:00:00,2,0.12
1970-02-01 11:16:00,1,0.81
1970-02-01 15:32:00,1,0.06
1970-02-01 19:48:00,39,5.56
1970-02-02 00:04:00,12,2.25
1970-02-02 04:20:00,1,1.06
1970-02-02 08:36:00,4,1.06
1970-02-01 02:45:00,16,2.12
1970-02-01 07:01:00,0,0.0
1970-02-01 11:17:00,4,0.94
1970-02-01 15:33:00,24,3.69
1970-02-01 19:49:00,8,1.94
1970-02-02 00:05:00,6,1.44
1970-02-02 04:21:00,28,3.25
1970-02-02 08:37:00,11,1.25
1970-02-01 02:46:00,19,2.81
1970-02-01 07:02:00,17,2.81
1970-02-01 11:18:00,2,1.12
1970-02-01 15:34:00,0,0.0
1970-02-01 19:50:00,0,0.06
1970-02-02 00:06:00,0,0.19
1970-02-02 04:22:00,0,0.19
1970-02-02 04:23:00,0,0.06
1970-02-02 08:39:00,10,1.38
1970-02-01 02:48:00,10,0.88
1970-02-01 07:04:00,42,7.19
1970-02-01 11:20:00,56,5.31
1970-02-01 15:36:00,7,1.69
1970-02-01 19:52:00,11,1.62
1970-02-02 00:08:00,7,1.56
1970-02-02 04:24:00,9,0.69
1970-02-02 08:40:00,11,1.81
1970-02-01 02:49:00,2,1.62
1970-02-01 07:05:00,0,0.62
1970-02-01 11:21:00,0,0.06
1970-02-01 15:37:00,0,0.12
1970-02-01 19:53:00,0,0.12
1970-02-02 08:43:00,0,0.0
1970-02-01 02:52:00,26,3.25
1970-02-01 07:08:00,7,1.44
1970-02-01 11:24:00,2,0.12
1970-02-01 15:40:00,0,0.0
1970-02-01 19:56:00,11,1.88
1970-02-02 00:12:00,18,2.56
1970-02-02 04:28:00,0,0.06
1970-02-02 08:44:00,0,0.0
1970-02-01 02:53:00,0,0.0
1970-02-01 07:09:00,0,0.0
1970-02-02 00:13:00,0,0.0
1970-02-02 04:29:00,2,0.19
1970-02-02 08:45:00,0,0.0
1970-02-01 02:54:00,0,0.0
