Timestamp,Steps,PAM Score
1970-01-25 10:43:00,8,1.12
1970-01-25 14:59:00,17,2.62
1970-01-25 19:15:00,9,1.25
1970-01-25 23:31:00,12,2.25
1970-01-26 03:47:00,6,1.69
1970-01-26 08:03:00,0,0.56
1970-01-25 02:12:00,0,1.0
1970-01-25 06:28:00,10,1.19
1970-01-25 10:44:00,11,1.81
1970-01-25 15:00:00,26,1.19
1970-01-25 19:16:00,6,1.06
1970-01-25 23:32:00,4,0.88
1970-01-26 03:48:00,12,1.69
1970-01-26 08:04:00,11,2.38
1970-01-25 02:13:00,19,2.88
1970-01-25 06:29:00,0,1.94
1970-01-25 10:45:00,0,1.44
1970-01-25 15:01:00,0,1.19
1970-01-25 19:17:00,2,1.12
1970-01-25 23:33:00,14,1.94
1970-01-26 03:49:00,7,2.5
1970-01-26 08:05:00,6,1.81
1970-01-25 02:14:00,7,1.75
1970-01-25 06:30:00,7,1.75
1970-01-25 10:46:00,10,2.69
1970-01-25 15:02:00,6,2.44
1970-01-25 19:18:00,3,0.62
1970-01-25 23:34:00,0,0.0
1970-01-26 03:50:00,0,0.0
1970-01-26 08:06:00,0,0.0
1970-01-25 02:15:00,0,0.0
1970-01-25 23:35:00,0,0.06
1970-01-26 03:51:00,4,0.38
1970-01-26 08:07:00,2,1.5
1970-01-25 02:16:00,18,2.56
1970-01-25 06:32:00,20,3.31
1970-01-25 10:48:00,44,5.06
1970-01-25 15:04:00,19,2.81
1970-01-25 19:20:00,14,2.56
1970-01-25 23:36:00,22,2.69
1970-01-26 03:52:00,12,2.62
1970-01-26 08:08:00,6,1.25
1970-01-25 02:17:00,10,1.5
1970-01-25 06:33:00,10,1.81
1970-01-25 10:49:00,7,1.38
1970-01-25 15:05:00,23,2.0
1970-01-25 19:21:00,4,0.75
1970-01-25 23:37:00,6,0.5
1970-01-26 03:53:00,18,2.25
1970-01-26 08:09:00,13,1.25
1970-01-25 02:18:00,8,1.44
1970-01-25 06:34:00,9,1.94
1970-01-25 10:50:00,10,2.0
1970-01-25 15:06:00,7,1.19
1970-01-25 19:22:00,6,1.75
1970-01-25 23:38:00,7,1.44
1970-01-26 03:54:00,2,0.75
1970-01-26 08:10:00,15,1.62
1970-01-25 02:19:00,13,2.5
1970-01-25 06:35:00,8,1.88
1970-01-25 10:51:00,16,2.31
1970-01-25 15:07:00,0,0.06
1970-01-25 19:23:00,0,0.0
1970-01-25 23:39:00,0,0.0
1970-01-26 03:55:00,9,1.12
1970-01-26 08:11:00,7,1.75
1970-01-25 02:20:00,0,0.0
1970-01-25 06:36:00,7,0.88
1970-01-25 10:52:00,11,2.44
1970-01-25 15:08:00,3,0.44
