Timestamp,Steps,PAM Score
1970-02-01 09:30:00+00:00,0,0.0
1970-02-01 13:46:00+00:00,0,0.0
1970-02-01 18:02:00+00:00,0,0.0
1970-02-01 22:18:00+00:00,0,0.0
1970-02-02 02:34:00+00:00,0,0.0
1970-02-02 06:50:00+00:00,0,0.0
1970-02-01 22:51:00+00:00,0,0.0
1970-02-02 03:07:00+00:00,3,0.44
1970-02-02 07:23:00+00:00,6,0.44
1970-02-01 01:32:00+00:00,0,0.0
1970-02-01 05:48:00+00:00,0,0.0
1970-02-01 10:04:00+00:00,0,0.0
1970-02-01 14:20:00+00:00,0,0.0
1970-02-01 10:11:00+00:00,0,0.0
1970-02-01 14:27:00+00:00,9,1.38
1970-02-01 18:43:00+00:00,0,1.38
1970-02-01 22:59:00+00:00,0,1.44
1970-02-02 03:15:00+00:00,0,1.44
1970-02-02 07:31:00+00:00,0,1.44
1970-02-01 05:56:00+00:00,0,1.19
1970-02-01 10:12:00+00:00,2,0.06
1970-02-01 14:28:00+00:00,4,0.88
1970-02-01 18:44:00+00:00,0,0.0
1970-02-01 23:00:00+00:00,0,0.0
1970-02-02 03:16:00+00:00,0,0.0
1970-02-02 07:32:00+00:00,0,0.0
1970-02-01 01:44:00+00:00,0,0.06
1970-02-01 06:00:00+00:00,2,0.12
1970-02-01 10:16:00+00:00,1,0.81
1970-02-01 14:32:00+00:00,1,0.06
1970-02-01 18:48:00+00:00,39,5.56
1970-02-01 23:04:00+00:00,12,2.25
1970-02-02 03:20:00+00:00,1,1.06
1970-02-02 07:36:00+00:00,4,1.06
1970-02-01 01:45:00+00:00,16,2.12
1970-02-01 06:01:00+00:00,0,0.0
1970-02-01 10:17:00+00:00,4,0.94
1970-02-01 14:33:00+00:00,24,3.69
1970-02-01 18:49:00+00:00,8,1.94
1970-02-01 23:05:00+00:00,6,1.44
1970-02-02 03:21:00+00:00,28,3.25
1970-02-02 07:37:00+00:00,11,1.25
1970-02-01 01:46:00+00:00,19,2.81
1970-02-01 06:02:00+00:00,17,2.81
1970-02-01 10:18:00+00:00,2,1.12
1970-02-01 14:34:00+00:00,0,0.0
1970-02-01 18:50:00+00:00,0,0.06
1970-02-01 23:06:00+00:00,0,0.19
1970-02-02 03:22:00+00:00,0,0.19
1970-02-02 03:23:00+00:00,0,0.06
1970-02-02 07:39:00+00:00,10,1.38
1970-02-01 01:48:00+00:00,10,0.88
1970-02-01 06:04:00+00:00,42,7.19
1970-02-01 10:20:00+00:00,44,3.81
